c1_4_1

VEHICLE CAPACITY
300

DEPOT
XCOORD.    YCOORD.
0           0

NOMBER OF EVENTS
400

DE. NO.  XCOORD.    YCOORD.    DEMAND   DELIVERY
1	181	172	10	1
2	154	31	10	1
3	123	106	20	1
4	23	137	20	1
5	190	28	20	1
6	8	71	10	1
7	103	130	20	1
8	62	50	20	1
9	89	161	10	1
10	117	91	20	1
11	12	156	30	1
12	88	165	30	1
13	107	125	10	1
14	8	74	20	1
15	105	125	10	1
16	118	192	30	1
17	146	11	10	1
18	93	13	30	1
19	188	125	10	1
20	87	117	10	1
21	123	31	20	1
22	121	189	20	1
23	174	128	20	1
24	197	80	10	1
25	151	165	10	1
26	140	4	10	1
27	78	184	20	1
28	96	150	20	1
29	96	147	10	1
30	149	182	20	1
31	87	191	10	1
32	189	151	30	1
33	99	144	10	1
34	64	52	20	1
35	7	151	20	1
36	151	99	10	1
37	87	118	10	1
38	179	141	20	1
39	192	151	10	1
40	143	0	10	1
41	66	58	20	1
42	122	14	20	1
43	66	52	10	1
44	173	55	20	1
45	119	37	20	1
46	199	28	20	1
47	90	161	10	1
48	36	193	20	1
49	159	160	20	1
50	194	112	10	1
51	176	173	20	1
52	117	193	30	1
53	186	96	20	1
54	39	56	10	1
55	189	120	10	1
56	29	139	10	1
57	37	190	10	1
58	165	117	10	1
59	16	84	20	1
60	187	97	10	1
61	10	153	20	1
62	194	149	20	1
63	187	112	30	1
64	103	70	10	1
65	193	159	20	1
66	77	115	20	1
67	190	154	30	1
68	3	75	10	1
69	17	93	20	1
70	151	167	10	1
71	12	85	10	1
72	120	11	10	1
73	140	181	20	1
74	6	67	10	1
75	137	4	10	1
76	103	124	20	1
77	10	67	30	1
78	48	30	50	1
79	53	67	20	1
80	164	113	20	1
81	47	49	20	1
82	187	92	20	1
83	121	115	20	1
84	46	51	20	1
85	144	189	30	1
86	180	93	10	1
87	152	168	20	1
88	117	95	10	1
89	195	25	10	1
90	108	168	20	1
91	149	103	20	1
92	60	58	20	1
93	197	79	10	1
94	39	58	30	1
95	147	186	30	1
96	154	163	10	1
97	96	128	30	1
98	30	187	10	1
99	123	121	20	1
100	104	68	10	1
101	102	128	20	1
102	18	89	10	1
103	197	77	20	1
104	156	11	20	1
105	144	33	30	1
106	101	67	20	1
107	159	121	20	1
108	84	192	10	1
109	139	7	20	1
110	7	152	10	1
111	181	147	20	1
112	104	170	20	1
113	13	81	30	1
114	172	57	10	1
115	80	108	20	1
116	180	171	20	1
117	146	3	10	1
118	123	33	20	1
119	127	8	20	1
120	185	115	20	1
121	192	113	20	1
122	194	75	10	1
123	135	0	10	1
124	157	30	10	1
125	53	29	30	1
126	85	110	10	1
127	182	171	30	1
128	79	193	30	1
129	181	52	10	1
130	148	103	30	1
131	190	109	10	1
132	119	188	20	1
133	197	140	10	1
134	162	123	40	1
